V_r,I_ub,I_b,I_φ
0.0,-0.39,0.003,-0.387
0.000533689126084056,-0.40700000000000003,0.003,-0.404
0.001067378252168112,-0.393,0.003,-0.39
0.0016010673782521682,-0.391,0.003,-0.388
0.002134756504336224,-0.42,0.003,-0.417
0.00266844563042028,-0.431,0.003,-0.428
0.0032021347565043363,-0.188,0.003,-0.185
0.0037358238825883922,-0.342,0.003,-0.339
0.004269513008672448,-0.392,0.003,-0.389
0.004803202134756504,-0.404,0.003,-0.401
0.00533689126084056,-0.27,0.003,-0.267
0.005870580386924616,-0.20500000000000002,0.003,-0.202
0.006404269513008673,-0.214,0.003,-0.211
0.0069379586390927285,-0.193,0.003,-0.19
0.0074716477651767844,-0.308,0.003,-0.305
0.00800533689126084,-0.244,0.003,-0.241
0.008539026017344896,-0.302,0.003,-0.299
0.009072715143428953,-0.2,0.003,-0.197
0.009606404269513008,-0.41300000000000003,0.003,-0.41000000000000003
0.010140093395597065,-0.41700000000000004,0.003,-0.41400000000000003
0.01067378252168112,-0.39,0.003,-0.387
0.011207471647765177,-0.372,0.003,-0.369
0.011741160773849232,-0.404,0.003,-0.401
0.012274849899933288,-0.35000000000000003,0.003,-0.34700000000000003
0.012808539026017345,-0.43,0.003,-0.427
0.0133422281521014,-0.187,0.003,-0.184
0.013875917278185457,-0.35200000000000004,0.003,-0.34900000000000003
0.014409606404269512,-0.396,0.003,-0.393
0.014943295530353569,-0.187,0.003,-0.184
0.015476984656437624,-0.23299999999999998,0.003,-0.22999999999999998
0.01601067378252168,-0.34400000000000003,0.003,-0.341
0.016544362908605736,-0.373,0.003,-0.37
0.017078052034689793,-0.41800000000000004,0.003,-0.41500000000000004
0.01761174116077385,-0.41300000000000003,0.003,-0.41000000000000003
0.018145430286857906,-0.397,0.003,-0.394
0.01867911941294196,-0.238,0.003,-0.235
0.019212808539026016,-0.393,0.003,-0.39
0.019746497665110073,-0.398,0.003,-0.395
0.02028018679119413,-0.221,0.003,-0.218
0.020813875917278183,-0.191,0.003,-0.188
0.02134756504336224,-0.224,0.003,-0.221
0.021881254169446297,-0.34800000000000003,0.003,-0.34500000000000003
0.022414943295530353,-0.28,0.003,-0.277
0.02294863242161441,-0.36400000000000005,0.003,-0.36100000000000004
0.023482321547698463,-0.386,0.003,-0.383
0.02401601067378252,-0.404,0.003,-0.401
0.024549699799866577,-0.41500000000000004,0.003,-0.41200000000000003
0.025083388925950634,-0.16999999999999998,0.003,-0.16699999999999998
0.02561707805203469,-0.379,0.003,-0.376
0.026150767178118744,-0.34700000000000003,0.003,-0.34400000000000003
0.0266844563042028,-0.28500000000000003,0.003,-0.28200000000000003
0.027218145430286857,-0.41100000000000003,0.003,-0.40800000000000003
0.027751834556370914,-0.383,0.003,-0.38
0.028285523682454967,-0.216,0.003,-0.213
0.028819212808539024,-0.176,0.003,-0.173
0.02935290193462308,-0.383,0.003,-0.38
0.029886591060707138,-0.36900000000000005,0.003,-0.36600000000000005
0.030420280186791195,-0.4,0.003,-0.397
0.030953969312875248,-0.337,0.003,-0.334
0.03148765843895931,-0.163,0.003,-0.16
0.03202134756504336,-0.379,0.003,-0.376
0.032555036691127415,-0.192,0.003,-0.189
0.03308872581721147,-0.388,0.003,-0.385
0.03362241494329553,-0.28800000000000003,0.003,-0.28500000000000003
0.034156104069379585,-0.33499999999999996,0.003,-0.33199999999999996
0.03468979319546364,-0.159,0.003,-0.156
0.0352234823215477,-0.177,0.003,-0.174
0.035757171447631755,-0.224,0.003,-0.221
0.03629086057371581,-0.417,0.003,-0.414
0.03682454969979986,-0.181,0.003,-0.178
0.03735823882588392,-0.178,0.003,-0.175
0.037891927951967976,-0.30600000000000005,0.003,-0.30300000000000005
0.03842561707805203,-0.39099999999999996,0.003,-0.38799999999999996
0.03895930620413609,-0.17700000000000002,0.003,-0.17400000000000002
0.039492995330220146,-0.16,0.003,-0.157
0.0400266844563042,-0.21100000000000002,0.003,-0.20800000000000002
0.04056037358238826,-0.33499999999999996,0.003,-0.33199999999999996
0.041094062708472316,-0.377,0.003,-0.374
0.041627751834556366,-0.32499999999999996,0.003,-0.32199999999999995
0.04216144096064042,-0.34099999999999997,0.003,-0.33799999999999997
0.04269513008672448,-0.33499999999999996,0.003,-0.33199999999999996
0.043228819212808536,-0.412,0.003,-0.409
0.04376250833889259,-0.17200000000000001,0.003,-0.169
0.04429619746497665,-0.409,0.003,-0.40599999999999997
0.04482988659106071,-0.16399999999999998,0.003,-0.16099999999999998
0.04536357571714476,-0.258,0.003,-0.255
0.04589726484322882,-0.16599999999999998,0.003,-0.16299999999999998
0.04643095396931287,-0.39999999999999997,0.003,-0.39699999999999996
0.04696464309539693,-0.377,0.003,-0.374
0.047498332221480984,-0.423,0.003,-0.42
0.04803202134756504,-0.418,0.003,-0.415
0.0485657104736491,-0.40199999999999997,0.003,-0.39899999999999997
0.049099399599733154,-0.415,0.003,-0.412
0.04963308872581721,-0.22799999999999998,0.003,-0.22499999999999998
0.05016677785190127,-0.391,0.003,-0.388
0.050700466977985324,-0.20900000000000002,0.003,-0.20600000000000002
0.05123415610406938,-0.326,0.003,-0.323
0.05176784523015343,-0.385,0.003,-0.382
0.05230153435623749,-0.41,0.003,-0.407
0.052835223482321544,-0.393,0.003,-0.39
0.0533689126084056,-0.17099999999999999,0.003,-0.16799999999999998
0.05390260173448966,-0.187,0.003,-0.184
0.054436290860573715,-0.414,0.003,-0.411
0.05496997998665777,-0.181,0.003,-0.178
0.05550366911274183,-0.151,0.003,-0.148
0.056037358238825885,-0.157,0.003,-0.154
0.056571047364909935,-0.247,0.003,-0.244
0.05710473649099399,-0.367,0.003,-0.364
0.05763842561707805,-0.269,0.003,-0.266
0.058172114743162105,-0.277,0.003,-0.274
0.05870580386924616,-0.418,0.003,-0.415
0.05923949299533022,-0.23299999999999998,0.003,-0.22999999999999998
0.059773182121414276,-0.413,0.003,-0.41
0.06030687124749833,-0.149,0.003,-0.146
0.06084056037358239,-0.151,0.003,-0.148
0.06137424949966644,-0.371,0.003,-0.368
0.061907938625750496,-0.404,0.003,-0.401
0.06244162775183455,-0.418,0.003,-0.415
0.06297531687791862,-0.383,0.003,-0.38
0.06350900600400267,-0.414,0.003,-0.411
0.06404269513008672,-0.251,0.003,-0.248
0.06457638425617078,-0.21,0.003,-0.207
0.06511007338225483,-0.306,0.003,-0.303
0.0656437625083389,-0.39,0.003,-0.387
0.06617745163442294,-0.355,0.003,-0.352
0.066711140760507,-0.398,0.003,-0.395
0.06724482988659106,-0.373,0.003,-0.37
0.06777851901267512,-0.382,0.003,-0.379
0.06831220813875917,-0.338,0.003,-0.335
0.06884589726484322,-0.401,0.003,-0.398
0.06937958639092728,-0.15300000000000002,0.003,-0.15000000000000002
0.06991327551701133,-0.29800000000000004,0.003,-0.29500000000000004
0.0704469646430954,-0.40700000000000003,0.003,-0.404
0.07098065376917945,-0.404,0.003,-0.401
0.07151434289526351,-0.14,0.003,-0.137
0.07204803202134756,-0.356,0.003,-0.353
0.07258172114743162,-0.15899999999999997,0.003,-0.15599999999999997
0.07311541027351567,-0.145,0.003,-0.142
0.07364909939959972,-0.15,0.003,-0.147
0.07418278852568379,-0.372,0.003,-0.369
0.07471647765176784,-0.375,0.003,-0.372
0.0752501667778519,-0.325,0.003,-0.322
0.07578385590393595,-0.37,0.003,-0.367
0.07631754503002001,-0.14300000000000002,0.003,-0.14
0.07685123415610406,-0.338,0.003,-0.335
0.07738492328218813,-0.31,0.003,-0.307
