V_r,I_ub,I_b,I_φ
0.0,-0.5820000000000001,0.003,-0.579
0.0004669779853235489,-1.0619999999999998,0.003,-1.0590000000000002
0.0009339559706470981,-1.0599999999999998,0.003,-1.057
0.001400933955970647,-1.002,0.003,-0.9990000000000001
0.0018679119412941961,-0.478,0.003,-0.475
0.002334889926617745,-0.42700000000000005,0.003,-0.424
0.002801867911941294,-0.9990000000000001,0.003,-0.996
0.0032688458972648434,-0.902,0.003,-0.899
0.0037358238825883922,-0.758,0.003,-0.755
0.004202801867911941,-0.909,0.003,-0.9059999999999999
0.00466977985323549,-0.5870000000000001,0.003,-0.584
0.0051367578385590395,-1.0590000000000002,0.003,-1.056
0.005603735823882588,-0.595,0.003,-0.5920000000000001
0.006070713809206137,-1.0639999999999998,0.003,-1.061
0.006537691794529687,-1.0519999999999998,0.003,-1.0490000000000002
0.007004669779853236,-1.0579999999999998,0.003,-1.055
0.0074716477651767844,-0.8370000000000001,0.003,-0.8340000000000001
0.007938625750500333,-0.5579999999999999,0.003,-0.555
0.008405603735823882,-0.461,0.003,-0.45799999999999996
0.008872581721147431,-0.772,0.003,-0.769
0.00933955970647098,-0.429,0.003,-0.426
0.00980653769179453,-0.43200000000000005,0.003,-0.429
0.010273515677118079,-0.882,0.003,-0.879
0.010740493662441628,-0.39399999999999996,0.003,-0.391
0.011207471647765177,-0.7070000000000001,0.003,-0.7040000000000001
0.011674449633088724,-0.36200000000000004,0.003,-0.359
0.012141427618412274,-1.0070000000000001,0.003,-1.004
0.012608405603735823,-1.035,0.003,-1.032
0.013075383589059374,-0.9279999999999999,0.003,-0.925
0.013542361574382922,-1.0479999999999998,0.003,-1.045
0.014009339559706471,-0.406,0.003,-0.40299999999999997
0.014476317545030018,-0.8540000000000001,0.003,-0.851
0.014943295530353569,-0.888,0.003,-0.885
0.01541027351567712,-0.809,0.003,-0.8059999999999999
0.01587725150100067,-0.484,0.003,-0.481
0.016344229486324215,-0.978,0.003,-0.975
0.016811207471647764,-1.015,0.003,-1.012
0.017278185456971313,-0.997,0.003,-0.9940000000000001
0.017745163442294862,-0.98,0.003,-0.977
0.01821214142761841,-0.977,0.003,-0.9740000000000001
0.01867911941294196,-1.0319999999999998,0.003,-1.0290000000000001
0.019146097398265508,-1.0299999999999998,0.003,-1.0270000000000001
0.01961307538358906,-1.003,0.003,-1.0
0.02008005336891261,-1.028,0.003,-1.025
0.020547031354236158,-0.958,0.003,-0.955
0.02101400933955971,-0.375,0.003,-0.37200000000000005
0.021480987324883256,-0.392,0.003,-0.389
0.021947965310206805,-0.43,0.003,-0.42700000000000005
0.022414943295530357,-0.433,0.003,-0.43
0.022881921280853902,-1.0259999999999998,0.003,-1.023
0.02334889926617745,-0.413,0.003,-0.41
0.023815877251501,-0.894,0.003,-0.8909999999999999
0.02428285523682455,-0.9740000000000001,0.003,-0.971
0.024749833222148097,-0.7929999999999999,0.003,-0.79
0.025216811207471646,-1.008,0.003,-1.005
0.0256837891927952,-0.773,0.003,-0.77
0.026150767178118747,-0.33799999999999997,0.003,-0.335
0.026617745163442296,-0.917,0.003,-0.914
0.027084723148765845,-0.9329999999999999,0.003,-0.93
0.027551701134089397,-0.995,0.003,-0.992
0.028018679119412943,-0.509,0.003,-0.506
0.028485657104736488,-0.8640000000000001,0.003,-0.861
0.028952635090060037,-0.34299999999999997,0.003,-0.34
0.02941961307538359,-0.39,0.003,-0.387
0.029886591060707138,-0.778,0.003,-0.775
0.030353569046030687,-0.794,0.003,-0.7909999999999999
0.03082054703135424,-1.002,0.003,-0.9990000000000001
0.03128752501667779,-0.7030000000000001,0.003,-0.7000000000000001
0.03175450300200133,-0.341,0.003,-0.338
0.03222148098732488,-0.9890000000000001,0.003,-0.986
0.03268845897264843,-0.872,0.003,-0.8690000000000001
0.03315543695797198,-0.925,0.003,-0.922
0.03362241494329553,-0.987,0.003,-0.9840000000000001
0.03408939292861908,-0.992,0.003,-0.9890000000000001
0.034556370913942626,-0.927,0.003,-0.924
0.03502334889926618,-0.42200000000000004,0.003,-0.419
0.035490326884589724,-1.0,0.003,-0.997
0.03595730486991328,-0.544,0.003,-0.541
0.03642428285523682,-0.8230000000000001,0.003,-0.8200000000000001
0.036891260840560366,-0.752,0.003,-0.7490000000000001
0.03735823882588392,-0.6,0.003,-0.597
0.03782521681120747,-0.628,0.003,-0.625
0.038292194796531016,-0.733,0.003,-0.73
0.03875917278185457,-0.975,0.003,-0.972
0.03922615076717812,-0.604,0.003,-0.601
0.03969312875250167,-0.478,0.003,-0.475
0.04016010673782522,-0.35700000000000004,0.003,-0.354
